seed	N	T	F	DRA	D	DSTA	Empty	Transmitted	TPF	TL1
1	1	0	0.300	0.000137	0.012347	0.012347	0.900807	8.480836e+10	2.841184	0.647210
1	2	0	0.300	0.000542	0.020361	0.020543	0.820708	1.639692e+11	4.201836	0.763454
1	3	0	0.300	0.001053	0.024946	0.025146	0.740418	2.434239e+11	4.697544	0.802616
1	4	0	0.300	0.001441	0.025460	0.025642	0.686184	3.240230e+11	4.511678	0.799321
1	5	0	0.300	0.001992	0.029525	0.029731	0.607789	4.007780e+11	4.753584	0.814753
1	6	0	0.300	0.002556	0.033987	0.034231	0.531813	4.756293e+11	4.921243	0.826650
1	7	0	0.300	0.002897	0.034886	0.035173	0.486126	5.524210e+11	4.725591	0.814846
1	8	0	0.300	0.003223	0.036161	0.036465	0.441008	6.289528e+11	4.580056	0.806829
1	9	0	0.300	0.003491	0.036476	0.036895	0.407096	7.074088e+11	4.371737	0.789316
1	10	0	0.300	0.004010	0.042435	0.042938	0.339301	7.724988e+11	4.503135	0.797801
1	11	0	0.300	0.004204	0.042483	0.043135	0.314061	8.493256e+11	4.294614	0.774715
1	12	0	0.300	0.004392	0.043023	0.043851	0.289371	9.246108e+11	4.122399	0.755620
1	13	0	0.300	0.004764	0.048352	0.049281	0.242432	9.858185e+11	4.144882	0.759806
1	14	0	0.300	0.005227	0.056560	0.057784	0.188776	1.034581e+12	4.233207	0.766757
1	15	0	0.300	0.005638	0.066921	0.068505	0.141412	1.075639e+12	4.317834	0.773811
1	16	0	0.300	0.005882	0.073040	0.074850	0.114262	1.128327e+12	4.263867	0.771261
1	17	0	0.300	0.006207	0.086156	0.088528	0.079449	1.155206e+12	4.329511	0.775610
1	18	0	0.300	0.006482	0.102020	0.105052	0.051790	1.175111e+12	4.392934	0.782267
1	19	0	0.300	0.006629	0.111935	0.115545	0.037072	1.210418e+12	4.343746	0.778465
1	20	0	0.300	0.006805	0.131673	0.136297	0.021688	1.215322e+12	4.398734	0.782315
1	21	0	0.300	0.006920	0.151545	0.157320	0.012559	1.214048e+12	4.430504	0.786091
1	22	0	0.300	0.007005	0.173682	0.180846	0.006213	1.209407e+12	4.468536	0.788154
1	23	0	0.300	0.007055	0.198028	0.206700	0.002894	1.203288e+12	4.514512	0.791108
1	24	0	0.300	0.007059	0.208467	0.218240	0.001781	1.227738e+12	4.433373	0.786164
1	25	0	0.300	0.007053	0.213255	0.224614	0.001254	1.264510e+12	4.318737	0.773879
1	26	0	0.300	0.007059	0.233050	0.245671	0.000578	1.267733e+12	4.320525	0.775215
1	27	0	0.300	0.007068	0.256766	0.271236	0.000242	1.258057e+12	4.346964	0.777209
1	28	0	0.300	0.007074	0.276209	0.291787	0.000092	1.259865e+12	4.346105	0.777998
1	29	0	0.300	0.007057	0.280793	0.298701	0.000071	1.290605e+12	4.246491	0.767783
1	30	0	0.300	0.007050	0.295872	0.314721	0.000055	1.301803e+12	4.215702	0.766628
1	31	0	0.300	0.007033	0.300704	0.321589	0.000043	1.330930e+12	4.127019	0.757437
1	32	0	0.300	0.007024	0.306713	0.331941	0.000018	1.364065e+12	4.051796	0.748548
1	33	0	0.300	0.007017	0.315764	0.341016	0.000017	1.368637e+12	4.034037	0.747832
1	34	0	0.300	0.007013	0.329618	0.376704	0.000011	1.368195e+12	4.033525	0.748196
1	35	0	0.300	0.007011	0.352028	0.408231	0.000012	1.373385e+12	4.022257	0.747653
1	36	0	0.300	0.007020	0.339728	-nan	0.000010	1.360004e+12	4.056989	0.750859
1	37	0	0.300	0.006996	0.302232	0.316898	0.000011	1.411528e+12	3.923201	0.742664
1	38	0	0.300	0.007018	0.332970	-nan	0.000010	1.370577e+12	4.036306	0.749867
1	39	0	0.300	0.007007	0.395249	-nan	0.000010	1.384969e+12	3.995380	0.745736
1	40	0	0.300	0.007007	0.337565	-nan	0.000010	1.374699e+12	4.016546	0.747350
2	1	0	0.300	0.000137	0.016551	0.016551	0.888111	8.461259e+10	3.649055	0.753796
2	2	0	0.300	0.000463	0.017393	0.017393	0.836887	1.687837e+11	3.647269	0.751272
2	3	0	0.300	0.000963	0.022545	0.022644	0.756113	2.480073e+11	4.323579	0.796039
2	4	0	0.300	0.001347	0.023631	0.023735	0.700497	3.308422e+11	4.247448	0.792773
2	5	0	0.300	0.001700	0.024299	0.024393	0.651947	4.107461e+11	4.114226	0.784682
2	6	0	0.300	0.001918	0.023271	0.023428	0.621536	4.944963e+11	3.821032	0.746312
2	7	0	0.300	0.002463	0.027541	0.027781	0.546537	5.675224e+11	4.070885	0.764860
