seed	N	T	F	DRA	D	DSTA	Empty	Transmitted	TPF	TL1
2	18	0	0.300	0.006159	0.059077	0.059550	0.118849	1.322044e+12	8.891334	0.882896
2	19	0	0.300	0.006382	0.063296	0.063827	0.098195	1.381596e+12	9.438400	0.890703
2	20	0	0.300	0.006531	0.066049	0.066648	0.083702	1.440818e+12	9.601861	0.892398
2	21	0	0.300	0.006682	0.069184	0.069870	0.070930	1.498438e+12	9.790185	0.894452
2	22	0	0.300	0.006906	0.076145	0.076979	0.051749	1.541525e+12	10.704907	0.904157
2	23	0	0.300	0.007037	0.080318	0.081266	0.041694	1.594255e+12	10.954412	0.907272
2	24	0	0.300	0.007184	0.086767	0.087773	0.031033	1.633884e+12	11.768444	0.915747
2	25	0	0.300	0.007314	0.093993	0.095059	0.021849	1.666763e+12	12.601616	0.922836
2	26	0	0.300	0.007399	0.100045	0.101260	0.016401	1.705813e+12	13.132197	0.926574
2	27	0	0.300	0.007486	0.109133	0.110481	0.010531	1.733392e+12	14.193947	0.933032
2	28	0	0.300	0.007546	0.118319	0.119861	0.006720	1.757344e+12	15.265343	0.937389
2	29	0	0.300	0.007593	0.126346	0.127980	0.004385	1.785506e+12	16.196060	0.941787
2	30	0	0.300	0.007634	0.134530	0.136340	0.002751	1.810307e+12	17.071381	0.944367
2	31	0	0.300	0.007650	0.142688	0.144563	0.001925	1.834688e+12	17.829517	0.947495
2	32	0	0.300	0.007655	0.149400	0.151515	0.001281	1.862927e+12	17.691587	0.943356
2	33	0	0.300	0.007674	0.159337	0.161678	0.000764	1.877010e+12	18.622792	0.946238
2	34	0	0.300	0.007678	0.167157	0.169697	0.000440	1.899477e+12	18.519152	0.940560
2	35	0	0.300	0.007652	0.174162	0.176975	0.000328	1.924697e+12	18.331984	0.931249
2	36	0	0.300	0.007629	0.181771	0.184802	0.000233	1.948923e+12	18.189444	0.922388
2	37	0	0.300	0.007635	0.191765	0.194931	0.000135	1.962966e+12	18.599447	0.924044
2	38	0	0.300	0.007643	0.201405	0.204589	0.000071	1.975282e+12	18.839599	0.924274
2	39	0	0.300	0.007644	0.213542	0.216838	0.000057	1.982437e+12	19.611267	0.926079
2	40	0	0.300	0.007643	0.224003	0.226861	0.000050	1.986969e+12	19.514122	0.923657
3	1	0	0.300	0.000137	0.009929	0.009929	0.908105	8.583082e+10	2.381360	0.568812
3	2	0	0.300	0.000523	0.019165	0.019410	0.826240	1.667448e+11	4.005152	0.721682
3	3	0	0.300	0.000764	0.016828	0.017083	0.795199	2.513979e+11	3.455747	0.668452
3	4	0	0.300	0.001265	0.021364	0.021615	0.718145	3.311215e+11	4.177663	0.731736
3	5	0	0.300	0.001594	0.021934	0.022153	0.672580	4.103805e+11	4.134925	0.735975
3	6	0	0.300	0.001922	0.022952	0.023137	0.625735	4.925331e+11	4.184019	0.747037
3	7	0	0.300	0.002183	0.023206	0.023386	0.588616	5.746723e+11	4.081393	0.741728
3	8	0	0.300	0.002714	0.026913	0.027144	0.517907	6.490568e+11	4.559620	0.768142
3	9	0	0.300	0.003216	0.030539	0.030802	0.452297	7.226064e+11	4.963874	0.788768
3	10	0	0.300	0.003669	0.033810	0.034095	0.393605	7.935553e+11	5.299937	0.801964
3	11	0	0.300	0.004147	0.037421	0.037728	0.338816	8.640897e+11	5.743458	0.818448
3	12	0	0.300	0.004560	0.040772	0.041089	0.292140	9.287158e+11	6.137976	0.833292
3	13	0	0.300	0.004798	0.042495	0.042844	0.261398	1.002088e+12	6.153195	0.829413
3	14	0	0.300	0.005185	0.046213	0.046583	0.220667	1.066980e+12	6.610154	0.842283
3	15	0	0.300	0.005488	0.050064	0.050457	0.186193	1.133208e+12	7.093771	0.850369
3	16	0	0.300	0.005712	0.052436	0.052856	0.162255	1.199579e+12	7.264398	0.852785
3	17	0	0.300	0.005975	0.056446	0.056885	0.136779	1.254488e+12	7.857543	0.862956
3	18	0	0.300	0.006116	0.058718	0.059248	0.119062	1.325885e+12	7.853642	0.853933
3	19	0	0.300	0.006236	0.060884	0.061501	0.105168	1.389557e+12	7.819142	0.845688
3	20	0	0.300	0.006447	0.065741	0.066427	0.086050	1.442298e+12	8.430200	0.854526
3	21	0	0.300	0.006650	0.071077	0.071832	0.067966	1.491288e+12	9.181173	0.865601
3	22	0	0.300	0.006830	0.076567	0.077369	0.052658	1.539930e+12	9.902026	0.875834
3	23	0	0.300	0.006960	0.081098	0.081956	0.042723	1.584800e+12	10.382063	0.879814
3	24	0	0.300	0.007130	0.089167	0.090175	0.029693	1.622115e+12	11.485818	0.890541
3	25	0	0.300	0.007233	0.095709	0.096755	0.022401	1.660860e+12	12.250027	0.897361
3	26	0	0.300	0.007334	0.103794	0.104909	0.015461	1.689337e+12	13.203353	0.904612
3	27	0	0.300	0.007403	0.110414	0.111671	0.011161	1.726517e+12	13.940571	0.907125
3	28	0	0.300	0.007462	0.118678	0.120029	0.007432	1.749185e+12	15.016479	0.912641
3	29	0	0.300	0.007515	0.129020	0.130565	0.004423	1.769956e+12	16.437284	0.918859
3	30	0	0.300	0.007544	0.136318	0.137953	0.003183	1.798458e+12	17.229368	0.921637
3	31	0	0.300	0.007534	0.142577	0.144510	0.002188	1.833156e+12	17.193143	0.911180
3	32	0	0.300	0.007551	0.151709	0.153770	0.001549	1.855141e+12	18.201883	0.914535
3	33	0	0.300	0.007570	0.158909	0.160993	0.000928	1.874409e+12	18.583435	0.915404
3	34	0	0.300	0.007585	0.169693	0.172045	0.000479	1.886364e+12	19.972503	0.917339
3	35	0	0.300	0.007589	0.179665	0.182198	0.000279	1.903225e+12	20.957709	0.920194
3	36	0	0.300	0.007598	0.189488	0.191920	0.000129	1.915644e+12	21.699253	0.922105
3	37	0	0.300	0.007605	0.200902	0.203415	0.000064	1.925014e+12	22.828349	0.922733
3	38	0	0.300	0.007610	0.211756	0.214137	0.000060	1.933231e+12	23.493709	0.925092
3	39	0	0.300	0.007617	0.223534	0.225670	0.000029	1.939540e+12	24.114805	0.926978
3	40	0	0.300	0.007583	0.230377	0.232566	0.000023	1.958064e+12	23.750558	0.916554
4	1	0	0.300	0.000137	0.027118	0.027118	0.857859	8.081010e+10	5.687403	0.882032
4	2	0	0.300	0.000724	0.028965	0.028965	0.778940	1.612852e+11	5.902474	0.886443
4	3	0	0.300	0.001273	0.030792	0.030792	0.703609	2.403711e+11	6.083428	0.890765
4	4	0	0.300	0.001656	0.029580	0.029652	0.655568	3.210805e+11	5.617855	0.859535
4	5	0	0.300	0.001933	0.027973	0.028140	0.619182	4.036684e+11	5.074278	0.817493
4	6	0	0.300	0.002182	0.026628	0.026883	0.589860	4.860927e+11	4.652081	0.776180
4	7	0	0.300	0.002695	0.029905	0.030175	0.520951	5.624759e+11	4.968471	0.795807
4	8	0	0.300	0.003026	0.031228	0.031537	0.475839	6.403475e+11	5.060503	0.798988
4	9	0	0.300	0.003369	0.032768	0.033050	0.432996	7.149356e+11	5.185942	0.803214
4	10	0	0.300	0.003699	0.034581	0.034887	0.390845	7.914341e+11	5.418135	0.811491
4	11	0	0.300	0.003895	0.034850	0.035209	0.364003	8.710534e+11	5.237237	0.793268
4	12	0	0.300	0.004329	0.038294	0.038652	0.312584	9.405288e+11	5.706176	0.811499
4	13	0	0.300	0.004636	0.040817	0.041185	0.276877	1.009057e+12	6.073733	0.819624
4	14	0	0.300	0.005017	0.044317	0.044703	0.234260	1.073410e+12	6.619297	0.836571
4	15	0	0.300	0.005321	0.047088	0.047512	0.203444	1.142270e+12	7.002192	0.845266
4	16	0	0.300	0.005679	0.052244	0.052734	0.164459	1.196446e+12	7.672177	0.860768
4	17	0	0.300	0.006018	0.057420	0.057971	0.131894	1.253898e+12	8.461326	0.873891
4	18	0	0.300	0.006317	0.062865	0.063457	0.102807	1.307749e+12	9.187295	0.884404
4	19	0	0.300	0.006420	0.064896	0.065606	0.090733	1.371053e+12	9.109329	0.874782
4	20	0	0.300	0.006609	0.068845	0.069619	0.074738	1.427423e+12	9.537922	0.879766
