seed	N	T	F	DRA	D	DSTA	Empty	Transmitted	TPF	TL1
1	1	0	0.300	0.000137	0.012347	0.012347	0.900807	8.480836e+10	2.841184	0.647210
1	2	0	0.300	0.000543	0.020369	0.020551	0.820662	1.640302e+11	4.203383	0.763550
1	3	0	0.300	0.001035	0.024383	0.024579	0.742953	2.429770e+11	4.819047	0.805864
1	4	0	0.300	0.001444	0.024896	0.025113	0.689150	3.239147e+11	4.639483	0.800012
1	5	0	0.300	0.001962	0.027907	0.028131	0.616506	4.022710e+11	5.036378	0.821105
1	6	0	0.300	0.002475	0.030610	0.030863	0.549333	4.794727e+11	5.402314	0.836401
1	7	0	0.300	0.002838	0.031462	0.031770	0.503583	5.606082e+11	5.276981	0.830862
1	8	0	0.300	0.003145	0.032317	0.032699	0.460977	6.379421e+11	5.191736	0.825929
1	9	0	0.300	0.003394	0.032390	0.032929	0.428102	7.177323e+11	4.973130	0.807989
1	10	0	0.300	0.003864	0.035468	0.036085	0.372355	7.902107e+11	5.301196	0.821927
1	11	0	0.300	0.004049	0.035207	0.035990	0.346796	8.700670e+11	5.057501	0.798285
1	12	0	0.300	0.004205	0.035174	0.036123	0.323784	9.473986e+11	4.858551	0.778419
1	13	0	0.300	0.004566	0.037966	0.039095	0.282841	1.016770e+12	5.091351	0.788588
1	14	0	0.300	0.004990	0.042343	0.043895	0.233846	1.081500e+12	5.535051	0.800854
1	15	0	0.300	0.005368	0.046663	0.048573	0.193779	1.143276e+12	5.952605	0.811770
1	16	0	0.300	0.005605	0.049673	0.052156	0.167284	1.207119e+12	6.087283	0.815102
1	17	0	0.300	0.005941	0.054959	0.058186	0.133318	1.262172e+12	6.660972	0.824744
1	18	0	0.300	0.006235	0.060456	0.064494	0.104850	1.316921e+12	7.214655	0.833356
1	19	0	0.300	0.006424	0.064914	0.070141	0.085414	1.371979e+12	7.494803	0.838102
1	20	0	0.300	0.006695	0.072323	0.079574	0.061442	1.412654e+12	8.218014	0.845981
