seed	N	T	F	DRA	D	DSTA	Empty	Transmitted	TPF	TL1
1	1	0	0.300	0.000137	0.012347	0.012347	0.900807	8.480836e+10	2.841184	0.647210
1	2	0	0.300	0.000546	0.020275	0.020450	0.819980	1.645501e+11	4.220552	0.763424
1	3	0	0.300	0.001064	0.024176	0.024351	0.738567	2.446886e+11	4.723112	0.802821
1	4	0	0.300	0.001464	0.024181	0.024323	0.683833	3.264417e+11	4.534538	0.798172
1	5	0	0.300	0.001993	0.026926	0.027074	0.608277	4.048678e+11	4.827854	0.818098
1	6	0	0.300	0.002524	0.029493	0.029653	0.539219	4.807596e+11	5.126775	0.832038
1	7	0	0.300	0.002868	0.029466	0.029647	0.492307	5.610531e+11	4.920392	0.822377
1	8	0	0.300	0.003237	0.030120	0.030330	0.443844	6.429680e+11	4.807660	0.815196
1	9	0	0.300	0.003516	0.029971	0.030218	0.407352	7.247744e+11	4.612583	0.797099
1	10	0	0.300	0.003994	0.032660	0.032946	0.347955	7.965731e+11	4.866624	0.810653
1	11	0	0.300	0.004212	0.032326	0.032702	0.320358	8.789994e+11	4.652449	0.788479
1	12	0	0.300	0.004400	0.032040	0.032460	0.294861	9.569449e+11	4.462155	0.769833
1	13	0	0.300	0.004808	0.034492	0.034943	0.247178	1.030606e+12	4.556963	0.777066
1	14	0	0.300	0.005322	0.038491	0.039044	0.187936	1.092725e+12	4.764511	0.787591
1	15	0	0.300	0.005759	0.042688	0.043340	0.141077	1.157204e+12	5.024756	0.798342
1	16	0	0.300	0.006064	0.045623	0.046383	0.109407	1.223172e+12	5.064316	0.801952
1	17	0	0.300	0.006490	0.051958	0.052989	0.068377	1.274335e+12	5.409250	0.812140
1	18	0	0.300	0.006805	0.058449	0.059673	0.042132	1.323619e+12	5.791443	0.824710
1	19	0	0.300	0.006992	0.063927	0.065455	0.025107	1.375051e+12	5.953477	0.827531
1	20	0	0.300	0.007202	0.074153	0.076168	0.010293	1.406144e+12	6.727301	0.840683
1	21	0	0.300	0.007337	0.083257	0.085531	0.004181	1.440847e+12	7.373392	0.854684
1	22	0	0.300	0.007418	0.095408	0.098178	0.001095	1.461287e+12	8.342927	0.868707
1	23	0	0.300	0.007489	0.108714	0.111677	0.000130	1.475234e+12	9.145616	0.881522
1	24	0	0.300	0.007499	0.118010	0.121398	0.000036	1.503571e+12	9.430350	0.883367
1	25	0	0.300	0.007480	0.124334	0.128330	0.000019	1.540888e+12	9.316309	0.874457
1	26	0	0.300	0.007524	0.138743	0.142567	0.000010	1.549860e+12	9.795791	0.883698
1	27	0	0.300	0.007562	0.154664	0.159059	0.000010	1.551247e+12	10.488993	0.894782
1	28	0	0.300	0.007597	0.169975	0.174246	0.000010	1.554324e+12	10.773315	0.901500
1	29	0	0.300	0.007574	0.179232	0.184124	0.000010	1.576118e+12	10.460216	0.893363
1	30	0	0.300	0.007591	0.190938	0.196375	0.000010	1.589142e+12	10.794134	0.899670
1	31	0	0.300	0.007570	0.201587	0.206668	0.000010	1.605513e+12	10.567606	0.894152
1	32	0	0.300	0.007543	0.211165	0.217772	0.000010	1.618765e+12	10.252985	0.887967
1	33	0	0.300	0.007567	0.227705	0.236234	0.000010	1.616691e+12	10.381734	0.892879
1	34	0	0.300	0.007584	0.233187	0.245186	0.000010	1.613176e+12	10.647959	0.898732
1	35	0	0.300	0.007599	0.249786	0.329442	0.000010	1.616856e+12	10.683125	0.901673
1	36	0	0.300	0.007614	0.255238	0.275514	0.000010	1.612401e+12	11.020897	0.906984
1	37	0	0.300	0.007590	0.267797	0.284458	0.000010	1.623764e+12	10.732906	0.902266
