seed	N	T	F	DRA	D	DSTA	Empty	Transmitted	TPF
1	1	0	0.300	0.000137	0.009933	0.009933	0.908211	8.554462e+10	2.381054
1	2	0	0.300	0.000312	0.010157	0.010157	0.877206	1.700187e+11	2.376987
1	3	0	0.300	0.000493	0.010464	0.010464	0.845821	2.555374e+11	2.383614
1	4	0	0.300	0.000666	0.010730	0.010730	0.814699	3.403394e+11	2.383543
1	5	0	0.300	0.000839	0.011021	0.011021	0.783217	4.261280e+11	2.385896
1	6	0	0.300	0.001018	0.011323	0.011324	0.752007	5.111648e+11	2.386550
1	7	0	0.300	0.001197	0.011649	0.011649	0.720943	5.958208e+11	2.388026
1	8	0	0.300	0.001375	0.011969	0.011969	0.689854	6.805321e+11	2.388861
1	9	0	0.300	0.001571	0.012325	0.012325	0.659171	7.641330e+11	2.386857
1	10	0	0.300	0.001752	0.012718	0.012719	0.627524	8.503906e+11	2.392189
1	11	0	0.300	0.001938	0.013079	0.013079	0.597066	9.333696e+11	2.390910
1	12	0	0.300	0.002133	0.013480	0.013480	0.566679	1.016166e+12	2.390216
1	13	0	0.300	0.002325	0.013921	0.013921	0.536488	1.098425e+12	2.389149
1	14	0	0.300	0.002513	0.014358	0.014358	0.506110	1.181213e+12	2.387503
1	15	0	0.300	0.002703	0.014843	0.014843	0.475907	1.263509e+12	2.388425
1	16	0	0.300	0.002904	0.015383	0.015383	0.445359	1.346760e+12	2.390428
1	17	0	0.300	0.003102	0.015906	0.015906	0.415607	1.427825e+12	2.387956
1	18	0	0.300	0.003291	0.016477	0.016477	0.386349	1.507530e+12	2.387054
1	19	0	0.300	0.003502	0.017142	0.017142	0.357199	1.586973e+12	2.387198
1	20	0	0.300	0.003713	0.017862	0.017863	0.326872	1.669621e+12	2.390091
1	21	0	0.300	0.003900	0.018577	0.018577	0.298835	1.745976e+12	2.386849
1	22	0	0.300	0.004111	0.019437	0.019437	0.270001	1.824544e+12	2.387436
1	23	0	0.300	0.004322	0.020392	0.020392	0.241192	1.903096e+12	2.389066
1	24	0	0.300	0.004537	0.021464	0.021464	0.213177	1.979419e+12	2.388005
1	25	0	0.300	0.004745	0.022622	0.022622	0.186279	2.052688e+12	2.387258
1	26	0	0.300	0.004950	0.023948	0.023948	0.159306	2.126215e+12	2.388642
1	27	0	0.300	0.005169	0.025616	0.025616	0.132954	2.198033e+12	2.389726
1	28	0	0.300	0.005384	0.027624	0.027625	0.107914	2.266249e+12	2.391087
1	29	0	0.300	0.005593	0.030085	0.030085	0.083266	2.333481e+12	2.393896
1	30	0	0.300	0.005775	0.032766	0.032766	0.062716	2.389435e+12	2.391941
2	1	0	0.300	0.000137	0.010022	0.010022	0.907900	8.640158e+10	2.398330
2	2	0	0.300	0.000313	0.010286	0.010286	0.876224	1.727195e+11	2.400592
2	3	0	0.300	0.000487	0.010551	0.010551	0.844498	2.591790e+11	2.402839
2	4	0	0.300	0.000673	0.010845	0.010845	0.813070	3.448244e+11	2.400438
2	5	0	0.300	0.000850	0.011115	0.011115	0.781879	4.298118e+11	2.398054
2	6	0	0.300	0.001028	0.011397	0.011397	0.750794	5.145047e+11	2.395806
2	7	0	0.300	0.001209	0.011727	0.011727	0.719305	6.003222e+11	2.398292
2	8	0	0.300	0.001382	0.012025	0.012025	0.689051	6.827517e+11	2.395417
2	9	0	0.300	0.001578	0.012377	0.012377	0.657950	7.674931e+11	2.393790
2	10	0	0.300	0.001759	0.012716	0.012716	0.627621	8.501313e+11	2.390555
2	11	0	0.300	0.001953	0.013128	0.013128	0.596520	9.348744e+11	2.393487
2	12	0	0.300	0.002133	0.013483	0.013483	0.566715	1.016067e+12	2.388987
2	13	0	0.300	0.002322	0.013914	0.013914	0.535650	1.100734e+12	2.391382
2	14	0	0.300	0.002530	0.014428	0.014428	0.504676	1.185149e+12	2.394979
2	15	0	0.300	0.002715	0.014857	0.014857	0.474327	1.267852e+12	2.393733
2	16	0	0.300	0.002917	0.015396	0.015396	0.444237	1.349847e+12	2.393174
2	17	0	0.300	0.003112	0.015970	0.015970	0.414298	1.431414e+12	2.393883
2	18	0	0.300	0.003321	0.016623	0.016623	0.383685	1.514855e+12	2.396514
2	19	0	0.300	0.003517	0.017194	0.017194	0.355019	1.592931e+12	2.393492
2	20	0	0.300	0.003713	0.017892	0.017892	0.326484	1.670659e+12	2.390601
2	21	0	0.300	0.003917	0.018664	0.018664	0.297334	1.750107e+12	2.392229
2	22	0	0.300	0.004127	0.019497	0.019497	0.268544	1.828571e+12	2.392589
2	23	0	0.300	0.004332	0.020456	0.020456	0.240307	1.905501e+12	2.391629
2	24	0	0.300	0.004546	0.021564	0.021564	0.211671	1.983561e+12	2.394243
2	25	0	0.300	0.004765	0.022776	0.022777	0.183918	2.059182e+12	2.394525
2	26	0	0.300	0.004977	0.024087	0.024087	0.157504	2.131157e+12	2.393518
2	27	0	0.300	0.005181	0.025764	0.025764	0.132366	2.199657e+12	2.393208
2	28	0	0.300	0.005393	0.027698	0.027698	0.106161	2.271104e+12	2.395648
2	29	0	0.300	0.005592	0.030055	0.030055	0.083683	2.332310e+12	2.394332
2	30	0	0.300	0.005785	0.032910	0.032911	0.061909	2.391654e+12	2.394256
3	1	0	0.300	0.000137	0.009929	0.009929	0.908105	8.583082e+10	2.381360
3	2	0	0.300	0.000316	0.010214	0.010214	0.876704	1.713930e+11	2.387120
3	3	0	0.300	0.000482	0.010516	0.010516	0.844857	2.581897e+11	2.396033
3	4	0	0.300	0.000675	0.010807	0.010807	0.813595	3.433711e+11	2.394459
3	5	0	0.300	0.000837	0.011071	0.011071	0.782391	4.284062e+11	2.393174
3	6	0	0.300	0.001026	0.011348	0.011348	0.751791	5.117628e+11	2.388170
3	7	0	0.300	0.001201	0.011659	0.011659	0.720390	5.973350e+11	2.389618
3	8	0	0.300	0.001389	0.011988	0.011988	0.689933	6.803001e+11	2.386713
3	9	0	0.300	0.001568	0.012332	0.012332	0.658682	7.654769e+11	2.388506
3	10	0	0.300	0.001757	0.012694	0.012694	0.628201	8.485172e+11	2.387162
3	11	0	0.300	0.001944	0.013091	0.013091	0.597115	9.332333e+11	2.389806
3	12	0	0.300	0.002130	0.013474	0.013474	0.566942	1.015422e+12	2.387356
3	13	0	0.300	0.002324	0.013937	0.013937	0.535427	1.101338e+12	2.391928
3	14	0	0.300	0.002513	0.014379	0.014379	0.505481	1.182915e+12	2.390264
3	15	0	0.300	0.002711	0.014870	0.014870	0.474971	1.266060e+12	2.390346
3	16	0	0.300	0.002919	0.015404	0.015404	0.444362	1.349501e+12	2.392044
3	17	0	0.300	0.003108	0.015937	0.015937	0.414732	1.430208e+12	2.391140
3	18	0	0.300	0.003310	0.016551	0.016551	0.384931	1.511432e+12	2.392479
3	19	0	0.300	0.003502	0.017176	0.017176	0.355979	1.590278e+12	2.390087
3	20	0	0.300	0.003717	0.017909	0.017909	0.325976	1.672066e+12	2.391991
3	21	0	0.300	0.003913	0.018607	0.018607	0.296932	1.751210e+12	2.391294
3	22	0	0.300	0.004119	0.019490	0.019490	0.269171	1.826825e+12	2.388719
3	23	0	0.300	0.004338	0.020414	0.020414	0.240236	1.905715e+12	2.391130
3	24	0	0.300	0.004548	0.021517	0.021518	0.212167	1.982195e+12	2.392089
3	25	0	0.300	0.004749	0.022596	0.022596	0.185175	2.055700e+12	2.389187
3	26	0	0.300	0.004964	0.024101	0.024100	0.158831	2.127517e+12	2.389876
3	27	0	0.300	0.005175	0.025687	0.025687	0.132030	2.200555e+12	2.391494
3	28	0	0.300	0.005389	0.027682	0.027682	0.106628	2.269801e+12	2.393475
3	29	0	0.300	0.005582	0.029875	0.029875	0.084133	2.331057e+12	2.392100
3	30	0	0.300	0.005790	0.032829	0.032830	0.061763	2.392085e+12	2.394041
4	1	0	0.300	0.000137	0.009934	0.009934	0.908177	8.563699e+10	2.382011
4	2	0	0.300	0.000312	0.010250	0.010250	0.876493	1.719798e+11	2.393182
4	3	0	0.300	0.000488	0.010511	0.010511	0.845159	2.573548e+11	2.393065
4	4	0	0.300	0.000662	0.010741	0.010741	0.814301	3.414273e+11	2.386278
4	5	0	0.300	0.000847	0.011054	0.011055	0.782781	4.273273e+11	2.389205
4	6	0	0.300	0.001029	0.011342	0.011342	0.751884	5.115015e+11	2.386267
4	7	0	0.300	0.001206	0.011679	0.011679	0.720289	5.976115e+11	2.390872
4	8	0	0.300	0.001379	0.011949	0.011949	0.690208	6.795618e+11	2.384488
4	9	0	0.300	0.001574	0.012309	0.012308	0.659158	7.641544e+11	2.383333
4	10	0	0.300	0.001761	0.012700	0.012700	0.627866	8.494342e+11	2.387277
4	11	0	0.300	0.001943	0.013069	0.013069	0.597417	9.324032e+11	2.386685
