seed	N	T	F	DRA	D	DSTA	Empty	Transmitted	TPF	TL1
1	1	0	0.300	0.000137	0.009933	0.009933	0.908211	8.554462e+10	2.381054	0.561129
1	2	0	0.300	0.000312	0.010157	0.010157	0.877206	1.700187e+11	2.376987	0.564091
1	3	0	0.300	0.000493	0.010464	0.010464	0.845821	2.555374e+11	2.383614	0.565140
1	4	0	0.300	0.000666	0.010730	0.010730	0.814699	3.403394e+11	2.383543	0.564991
1	5	0	0.300	0.000839	0.011021	0.011021	0.783217	4.261280e+11	2.385896	0.565810
1	6	0	0.300	0.001018	0.011323	0.011324	0.752007	5.111648e+11	2.386550	0.566203
1	7	0	0.300	0.001197	0.011649	0.011649	0.720943	5.958208e+11	2.388026	0.566815
1	8	0	0.300	0.001375	0.011969	0.011969	0.689854	6.805321e+11	2.388861	0.566806
1	9	0	0.300	0.001571	0.012325	0.012325	0.659171	7.641330e+11	2.386857	0.566925
1	10	0	0.300	0.001752	0.012718	0.012719	0.627524	8.503906e+11	2.392189	0.567273
1	11	0	0.300	0.001938	0.013079	0.013079	0.597066	9.333696e+11	2.390910	0.567542
1	12	0	0.300	0.002133	0.013480	0.013480	0.566679	1.016166e+12	2.390216	0.566573
1	13	0	0.300	0.002325	0.013921	0.013921	0.536488	1.098425e+12	2.389149	0.566589
1	14	0	0.300	0.002513	0.014358	0.014358	0.506110	1.181213e+12	2.387503	0.566683
1	15	0	0.300	0.002703	0.014843	0.014843	0.475907	1.263509e+12	2.388425	0.566648
1	16	0	0.300	0.002904	0.015383	0.015383	0.445359	1.346760e+12	2.390428	0.566914
1	17	0	0.300	0.003102	0.015906	0.015906	0.415607	1.427825e+12	2.387956	0.566666
1	18	0	0.300	0.003291	0.016477	0.016477	0.386349	1.507530e+12	2.387054	0.565360
1	19	0	0.300	0.003502	0.017142	0.017142	0.357199	1.586973e+12	2.387198	0.566161
1	20	0	0.300	0.003713	0.017862	0.017863	0.326872	1.669621e+12	2.390091	0.566294
1	21	0	0.300	0.003900	0.018577	0.018577	0.298835	1.745976e+12	2.386849	0.566276
1	22	0	0.300	0.004111	0.019437	0.019437	0.270001	1.824544e+12	2.387436	0.566750
1	23	0	0.300	0.004322	0.020392	0.020392	0.241192	1.903096e+12	2.389066	0.566458
1	24	0	0.300	0.004537	0.021464	0.021464	0.213177	1.979419e+12	2.388005	0.566240
1	25	0	0.300	0.004745	0.022622	0.022622	0.186279	2.052688e+12	2.387258	0.566265
1	26	0	0.300	0.004950	0.023948	0.023948	0.159306	2.126215e+12	2.388642	0.566091
1	27	0	0.300	0.005169	0.025616	0.025616	0.132954	2.198033e+12	2.389726	0.566486
1	28	0	0.300	0.005384	0.027624	0.027625	0.107914	2.266249e+12	2.391087	0.566714
1	29	0	0.300	0.005593	0.030085	0.030085	0.083266	2.333481e+12	2.393896	0.567223
1	30	0	0.300	0.005775	0.032766	0.032766	0.062716	2.389435e+12	2.391941	0.567268
1	31	0	0.300	0.005952	0.036070	0.036071	0.043587	2.441546e+12	2.390154	0.566420
1	32	0	0.300	0.006092	0.040177	0.040180	0.028361	2.482968e+12	2.386811	0.565905
1	33	0	0.300	0.006227	0.045855	0.045859	0.014875	2.519760e+12	2.388890	0.566946
1	34	0	0.300	0.006316	0.052647	0.052653	0.006503	2.542542e+12	2.388048	0.565943
