seed	N	T	F	DRA	D	DSTA	Empty	Transmitted	TPF	TL1
1	1	0	0.300	0.000137	0.012347	0.012347	0.900807	8.480836e+10	2.841184	0.647210
1	2	0	0.300	0.000546	0.020275	0.020450	0.819980	1.645501e+11	4.220552	0.763424
1	3	0	0.300	0.001065	0.024207	0.024376	0.739575	2.450447e+11	4.755897	0.803941
1	4	0	0.300	0.001468	0.024108	0.024265	0.685513	3.254393e+11	4.544916	0.798268
1	5	0	0.300	0.001994	0.026873	0.027033	0.610421	4.039840e+11	4.854752	0.817909
1	6	0	0.300	0.002517	0.029439	0.029597	0.540930	4.801539e+11	5.166457	0.833768
1	7	0	0.300	0.002872	0.029673	0.029877	0.491594	5.634274e+11	4.986448	0.822063
1	8	0	0.300	0.003229	0.030093	0.030293	0.444984	6.428850e+11	4.841950	0.815206
1	9	0	0.300	0.003500	0.029847	0.030090	0.410571	7.229664e+11	4.621964	0.797157
1	10	0	0.300	0.004006	0.032778	0.033057	0.348436	7.979848e+11	4.908317	0.810611
1	11	0	0.300	0.004202	0.032269	0.032617	0.322141	8.780467e+11	4.674948	0.789033
1	12	0	0.300	0.004395	0.031999	0.032418	0.296728	9.565348e+11	4.480841	0.770181
1	13	0	0.300	0.004779	0.034244	0.034690	0.249426	1.029698e+12	4.579101	0.777487
1	14	0	0.300	0.005298	0.038563	0.039132	0.190546	1.093905e+12	4.839168	0.787750
1	15	0	0.300	0.005744	0.042843	0.043508	0.143493	1.160441e+12	5.120275	0.801370
1	16	0	0.300	0.006023	0.045540	0.046310	0.112616	1.223206e+12	5.141239	0.801986
1	17	0	0.300	0.006436	0.051796	0.052799	0.072898	1.274451e+12	5.538851	0.813192
1	18	0	0.300	0.006772	0.058300	0.059469	0.044953	1.323237e+12	5.969020	0.827558
1	19	0	0.300	0.006974	0.064171	0.065667	0.027032	1.376028e+12	6.174266	0.830645
1	20	0	0.300	0.007194	0.074932	0.077056	0.010896	1.403467e+12	7.038311	0.845029
1	21	0	0.300	0.007324	0.084740	0.087000	0.004922	1.433254e+12	7.810470	0.862526
1	22	0	0.300	0.007424	0.098113	0.101002	0.001031	1.449612e+12	8.895333	0.879114
1	23	0	0.300	0.007488	0.111969	0.115113	0.000214	1.460977e+12	9.851429	0.894554
1	24	0	0.300	0.007505	0.122051	0.125753	0.000051	1.487240e+12	10.212167	0.898483
1	25	0	0.300	0.007487	0.130184	0.134542	0.000017	1.519561e+12	10.178706	0.893898
1	26	0	0.300	0.007528	0.143845	0.148872	0.000010	1.526273e+12	10.745215	0.905520
1	27	0	0.300	0.007571	0.162931	0.167353	0.000010	1.522332e+12	11.706940	0.920914
1	28	0	0.300	0.007603	0.177155	0.182178	0.000010	1.524994e+12	12.107055	0.929746
1	29	0	0.300	0.007580	0.189377	0.194439	0.000010	1.541045e+12	11.956384	0.926814
1	30	0	0.300	0.007606	0.202566	0.208969	0.000010	1.553929e+12	12.483742	0.933362
1	31	0	0.300	0.007583	0.213245	0.220834	0.000010	1.567671e+12	12.269599	0.930049
1	32	0	0.300	0.007559	0.226202	0.234752	0.000010	1.579012e+12	12.043024	0.926265
1	33	0	0.300	0.007571	0.240799	0.253178	0.000010	1.576516e+12	12.293764	0.931025
1	34	0	0.300	0.007588	0.255163	0.278755	0.000010	1.581991e+12	12.615954	0.936722
1	36	0	0.300	0.007612	0.284250	0.310052	0.000010	1.588388e+12	13.447611	0.946565
2	1	0	0.300	0.000137	0.016551	0.016551	0.888111	8.461259e+10	3.649055	0.753796
2	2	0	0.300	0.000468	0.017171	0.017171	0.836692	1.691052e+11	3.650255	0.751320
