seed	N	T	F	DRA	D	DSTA	Empty	Transmitted	TPF	TL1
1	1	0	0.300	0.000137	0.012347	0.012347	0.900807	8.480836e+10	2.841184	0.647210
1	2	0	0.300	0.000546	0.020275	0.020450	0.819980	1.645501e+11	4.220552	0.763424
1	3	0	0.300	0.001058	0.024163	0.024334	0.738633	2.444732e+11	4.722045	0.802130
1	4	0	0.300	0.001458	0.024164	0.024316	0.683797	3.264771e+11	4.526573	0.798893
1	5	0	0.300	0.002012	0.027067	0.027217	0.604624	4.044082e+11	4.765149	0.815365
1	6	0	0.300	0.002583	0.029888	0.030055	0.527001	4.809609e+11	4.915304	0.826220
1	7	0	0.300	0.002963	0.030166	0.030367	0.477355	5.627379e+11	4.738282	0.815146
1	8	0	0.300	0.003307	0.030620	0.030852	0.429849	6.415415e+11	4.596413	0.806553
1	9	0	0.300	0.003577	0.030359	0.030615	0.395079	7.214921e+11	4.385963	0.788867
1	10	0	0.300	0.004152	0.033930	0.034250	0.321646	7.928325e+11	4.513485	0.797067
1	11	0	0.300	0.004360	0.033681	0.034107	0.294279	8.741273e+11	4.307726	0.775692
1	12	0	0.300	0.004570	0.033541	0.034054	0.266954	9.536715e+11	4.135403	0.758134
1	13	0	0.300	0.005008	0.036648	0.037247	0.213964	1.023555e+12	4.158231	0.761373
1	14	0	0.300	0.005563	0.042119	0.042948	0.150748	1.083474e+12	4.256594	0.768463
1	15	0	0.300	0.006070	0.048848	0.050063	0.095811	1.135628e+12	4.324919	0.774759
1	16	0	0.300	0.006360	0.053609	0.055275	0.064281	1.195036e+12	4.276732	0.772268
1	17	0	0.300	0.006738	0.064852	0.067662	0.028105	1.227594e+12	4.323448	0.775842
1	18	0	0.300	0.006967	0.080351	0.085504	0.007570	1.245200e+12	4.357147	0.778997
1	19	0	0.300	0.007017	0.090245	0.098271	0.002154	1.278187e+12	4.275800	0.773980
1	20	0	0.300	0.007044	0.109208	0.124045	0.000098	1.278958e+12	4.276858	0.774904
1	21	0	0.300	0.007043	0.129385	0.156750	0.000013	1.279476e+12	4.282988	0.773836
1	22	0	0.300	0.007047	0.128925	0.165510	0.000011	1.280051e+12	4.281300	0.774651
1	23	0	0.300	0.007044	0.157651	0.385993	0.000011	1.280025e+12	4.279224	0.774426
1	24	0	0.300	0.007023	0.138376	0.184837	0.000011	1.316500e+12	4.169435	0.766557
1	25	0	0.300	0.007000	0.136147	0.269056	0.000011	1.368811e+12	4.035833	0.752841
1	26	0	0.300	0.006983	0.135655	0.218507	0.000010	1.384149e+12	3.993314	0.751262
1	27	0	0.300	0.006991	0.175792	0.323842	0.000010	1.382664e+12	3.996921	0.750735
1	28	0	0.300	0.006983	0.170487	0.332094	0.000010	1.397938e+12	3.956908	0.748998
1	29	0	0.300	0.006952	0.178544	0.353626	0.000010	1.449377e+12	3.840138	0.736466
1	30	0	0.300	0.006938	0.159441	0.324964	0.000010	1.474946e+12	3.778876	0.733873
1	31	0	0.300	0.006911	0.162676	0.673800	0.000010	1.524024e+12	3.668625	0.721477
1	32	0	0.300	0.006886	0.165754	0.589718	0.000010	1.570816e+12	3.570465	0.711525
1	33	0	0.300	0.006878	0.204798	0.816828	0.000010	1.593543e+12	3.535118	0.711136
1	34	0	0.300	0.006869	0.160019	0.701509	0.000010	1.614261e+12	3.491853	0.707135
1	35	0	0.300	0.006854	0.179978	0.720729	0.000010	1.633763e+12	3.455779	0.706816
1	36	0	0.300	0.006839	0.188926	1.514691	0.000010	1.655795e+12	3.418070	0.703624
1	37	0	0.300	0.006817	0.177732	1.091398	0.000010	1.700403e+12	3.344362	0.695180
