seed	N	T	F	DRA	D	DSTA	Empty	Transmitted	TPF	TL1
1	1	0	0.300	0.000137	0.012347	0.012347	0.900807	8.480836e+10	2.841184	0.647210
1	2	0	0.300	0.000543	0.020369	0.020551	0.820662	1.640302e+11	4.203383	0.763550
1	3	0	0.300	0.001060	0.025103	0.025322	0.739551	2.436478e+11	4.717698	0.803466
1	4	0	0.300	0.001448	0.025500	0.025787	0.685611	3.243231e+11	4.515523	0.797086
1	5	0	0.300	0.001988	0.029648	0.030038	0.608180	4.008896e+11	4.752392	0.813043
1	6	0	0.300	0.002534	0.033940	0.034476	0.534109	4.741354e+11	4.895800	0.825007
1	7	0	0.300	0.002877	0.034566	0.035317	0.488064	5.527121e+11	4.703834	0.813415
1	8	0	0.300	0.003234	0.035929	0.036874	0.440991	6.316194e+11	4.572872	0.805763
1	9	0	0.300	0.003481	0.035932	0.037127	0.408961	7.087467e+11	4.352390	0.786615
1	10	0	0.300	0.003989	0.041600	0.043392	0.341759	7.753225e+11	4.479155	0.795727
1	11	0	0.300	0.004180	0.041225	0.043457	0.317762	8.517847e+11	4.259543	0.772685
1	12	0	0.300	0.004372	0.041526	0.044171	0.290768	9.325026e+11	4.096057	0.752932
1	13	0	0.300	0.004732	0.045848	0.049607	0.246614	9.940570e+11	4.094353	0.756058
1	14	0	0.300	0.005165	0.053365	0.059314	0.194611	1.045213e+12	4.169901	0.763024
1	15	0	0.300	0.005566	0.062307	0.072310	0.148046	1.091140e+12	4.235361	0.767462
1	16	0	0.300	0.005806	0.066903	0.080181	0.120555	1.149353e+12	4.169269	0.765100
1	17	0	0.300	0.006130	0.078357	0.100478	0.086237	1.181503e+12	4.219426	0.767301
1	18	0	0.300	0.006399	0.090739	0.127415	0.058780	1.208096e+12	4.249842	0.770273
1	19	0	0.300	0.006537	0.098314	0.149629	0.043723	1.254407e+12	4.183185	0.767033
1	20	0	0.300	0.006703	0.112375	0.195225	0.027629	1.270087e+12	4.194799	0.768114
