seed	N	T	F	DRA	D	DSTA	Empty	Transmitted	TPF
1	9	0	0.300	0.001570	0.013259	0.013259	0.659910	7.621182e+11	2.388891
1	10	0	0.300	0.001765	0.013864	0.013864	0.628907	8.466218e+11	2.390248
1	11	0	0.300	0.001947	0.014454	0.014454	0.598858	9.284904e+11	2.390072
1	12	0	0.300	0.002140	0.015163	0.015163	0.568738	1.010556e+12	2.390031
1	13	0	0.300	0.002333	0.015859	0.015859	0.538289	1.093546e+12	2.392928
1	15	0	0.300	0.002714	0.017489	0.017489	0.478652	1.256058e+12	2.392636
1	22	0	0.300	0.004055	0.026041	0.026041	0.283000	1.789163e+12	2.390597
1	23	0	0.300	0.004234	0.027711	0.027711	0.258231	1.856647e+12	2.386874
1	25	0	0.300	0.004598	0.031879	0.031879	0.208631	1.991769e+12	2.385593
1	26	0	0.300	0.004773	0.034169	0.034169	0.186331	2.052500e+12	2.383913
1	27	0	0.300	0.004961	0.037170	0.037170	0.162613	2.117187e+12	2.387943
