seed	N	T	F	DRA	D	DSTA	Empty	Transmitted	TPF
1	1	0	0.300	0.000137	0.009933	0.009933	0.908211	8.554462e+10	2.381054
1	2	0	0.300	0.000314	0.010224	0.010224	0.877238	1.699291e+11	2.376778
1	3	0	0.300	0.000488	0.010578	0.010578	0.846139	2.546624e+11	2.378386
1	4	0	0.300	0.000666	0.010980	0.010980	0.814744	3.402171e+11	2.384060
1	5	0	0.300	0.000843	0.011385	0.011385	0.783535	4.252604e+11	2.384493
1	6	0	0.300	0.001018	0.011771	0.011771	0.752579	5.096114e+11	2.386675
1	7	0	0.300	0.001199	0.012259	0.012259	0.721135	5.952978e+11	2.388603
1	8	0	0.300	0.001387	0.012727	0.012728	0.690390	6.790720e+11	2.390376
1	9	0	0.300	0.001570	0.013259	0.013259	0.659910	7.621182e+11	2.388891
1	10	0	0.300	0.001765	0.013864	0.013864	0.628907	8.466218e+11	2.390248
1	11	0	0.300	0.001947	0.014454	0.014454	0.598858	9.284904e+11	2.390072
1	12	0	0.300	0.002140	0.015163	0.015163	0.568738	1.010556e+12	2.390031
1	13	0	0.300	0.002333	0.015859	0.015859	0.538289	1.093546e+12	2.392928
1	14	0	0.300	0.002509	0.016529	0.016529	0.508947	1.173494e+12	2.389047
1	15	0	0.300	0.002714	0.017489	0.017489	0.478652	1.256058e+12	2.392636
1	16	0	0.300	0.002887	0.018243	0.018243	0.450896	1.331631e+12	2.386786
1	17	0	0.300	0.003082	0.019250	0.019250	0.421995	1.410389e+12	2.386662
1	18	0	0.300	0.003283	0.020427	0.020427	0.392571	1.490611e+12	2.391163
1	19	0	0.300	0.003478	0.021576	0.021576	0.364616	1.566779e+12	2.390160
1	20	0	0.300	0.003661	0.022864	0.022864	0.337728	1.640026e+12	2.386885
1	21	0	0.300	0.003847	0.024177	0.024177	0.311854	1.710492e+12	2.384381
1	22	0	0.300	0.004055	0.026041	0.026041	0.283000	1.789163e+12	2.390597
1	23	0	0.300	0.004234	0.027711	0.027711	0.258231	1.856647e+12	2.386874
1	24	0	0.300	0.004420	0.029678	0.029678	0.232842	1.925815e+12	2.387940
1	25	0	0.300	0.004598	0.031879	0.031879	0.208631	1.991769e+12	2.385593
1	26	0	0.300	0.004773	0.034169	0.034169	0.186331	2.052500e+12	2.383913
1	27	0	0.300	0.004961	0.037170	0.037170	0.162613	2.117187e+12	2.387943
1	28	0	0.300	0.005128	0.040213	0.040213	0.141584	2.174477e+12	2.388786
1	29	0	0.300	0.005301	0.043803	0.043803	0.120291	2.232577e+12	2.391969
1	30	0	0.300	0.005453	0.047445	0.047446	0.103140	2.279245e+12	2.388457
1	31	0	0.300	0.005600	0.051836	0.051836	0.085812	2.326499e+12	2.390740
1	32	0	0.300	0.005732	0.056467	0.056468	0.070250	2.368875e+12	2.390047
1	33	0	0.300	0.005848	0.061587	0.061587	0.057580	2.403372e+12	2.387565
1	34	0	0.300	0.005975	0.067597	0.067597	0.044458	2.439169e+12	2.390486
1	35	0	0.300	0.006059	0.073400	0.073401	0.034665	2.465818e+12	2.387808
1	36	0	0.300	0.006160	0.080770	0.080771	0.025797	2.490023e+12	2.391637
1	37	0	0.300	0.006226	0.088126	0.088127	0.018962	2.508668e+12	2.391938
1	38	0	0.300	0.006284	0.095910	0.095911	0.013715	2.522958e+12	2.390632
1	39	0	0.300	0.006331	0.104038	0.104039	0.009457	2.534538e+12	2.390971
1	40	0	0.300	0.006367	0.112575	0.112577	0.006570	2.542423e+12	2.390180
2	1	0	0.300	0.000137	0.010022	0.010022	0.907900	8.640158e+10	2.398330
2	2	0	0.300	0.000317	0.010353	0.010353	0.876238	1.726829e+11	2.400023
2	3	0	0.300	0.000476	0.010656	0.010656	0.844800	2.583493e+11	2.397370
2	4	0	0.300	0.000679	0.011135	0.011135	0.812948	3.451656e+11	2.404901
2	5	0	0.300	0.000846	0.011482	0.011482	0.781975	4.295519e+11	2.400268
2	6	0	0.300	0.001026	0.011865	0.011865	0.751187	5.134367e+11	2.396609
2	7	0	0.300	0.001212	0.012337	0.012337	0.720039	5.983084e+11	2.395040
2	8	0	0.300	0.001394	0.012841	0.012841	0.689343	6.819603e+11	2.397966
2	9	0	0.300	0.001577	0.013324	0.013324	0.659071	7.644293e+11	2.393063
2	10	0	0.300	0.001763	0.013864	0.013864	0.628953	8.465012e+11	2.390799
2	11	0	0.300	0.001950	0.014473	0.014473	0.597946	9.310031e+11	2.393787
2	12	0	0.300	0.002140	0.015160	0.015160	0.567643	1.013581e+12	2.394963
2	13	0	0.300	0.002332	0.015849	0.015849	0.538516	1.092925e+12	2.392041
2	14	0	0.300	0.002524	0.016649	0.016649	0.507864	1.176463e+12	2.394754
2	15	0	0.300	0.002713	0.017406	0.017406	0.478803	1.255641e+12	2.392030
2	16	0	0.300	0.002908	0.018406	0.018406	0.448558	1.338080e+12	2.395568
2	17	0	0.300	0.003097	0.019347	0.019347	0.419680	1.416768e+12	2.395728
2	18	0	0.300	0.003292	0.020489	0.020489	0.391798	1.492719e+12	2.393403
2	19	0	0.300	0.003481	0.021636	0.021636	0.363485	1.569866e+12	2.393497
2	20	0	0.300	0.003682	0.023072	0.023072	0.335443	1.646279e+12	2.394676
2	21	0	0.300	0.003869	0.024397	0.024397	0.309500	1.716958e+12	2.392108
2	22	0	0.300	0.004057	0.026009	0.026009	0.281914	1.792145e+12	2.393515
2	23	0	0.300	0.004249	0.027992	0.027992	0.256450	1.861548e+12	2.393669
2	24	0	0.300	0.004442	0.029939	0.029939	0.230637	1.931843e+12	2.393535
2	25	0	0.300	0.004612	0.032055	0.032055	0.206915	1.996494e+12	2.392315
2	26	0	0.300	0.004804	0.034591	0.034592	0.182574	2.062864e+12	2.395654
