seed	N	T	F	DRA	D	DSTA	Empty	Transmitted	TPF
1	1	0	0.300	0.000137	0.009933	0.009933	0.908211	8.554462e+10	2.381054
1	2	0	0.300	0.000312	0.010235	0.010235	0.877178	1.699329e+11	2.399573
1	3	0	0.300	0.000488	0.010575	0.010575	0.845724	2.554926e+11	2.417709
1	4	0	0.300	0.000665	0.010859	0.010859	0.814207	3.413668e+11	2.415210
1	5	0	0.300	0.000842	0.011154	0.011154	0.783180	4.257280e+11	2.418690
1	6	0	0.300	0.001023	0.011459	0.011458	0.752201	5.099389e+11	2.421466
1	7	0	0.300	0.001206	0.011805	0.011806	0.720754	5.955337e+11	2.424084
1	8	0	0.300	0.001386	0.012134	0.012134	0.689344	6.810164e+11	2.424683
1	9	0	0.300	0.001575	0.012615	0.012615	0.658202	7.651408e+11	2.452738
1	10	0	0.300	0.001769	0.012996	0.012997	0.627334	8.487608e+11	2.458538
1	11	0	0.300	0.001968	0.013648	0.013648	0.595821	9.315428e+11	2.508457
1	12	0	0.300	0.002172	0.014290	0.014290	0.564966	1.012240e+12	2.549110
1	13	0	0.300	0.002368	0.014775	0.014775	0.534765	1.093236e+12	2.557127
1	14	0	0.300	0.002566	0.015377	0.015377	0.503266	1.177404e+12	2.581754
1	15	0	0.300	0.002796	0.016075	0.016076	0.471388	1.262246e+12	2.608789
1	16	0	0.300	0.002986	0.016598	0.016599	0.441745	1.341784e+12	2.608928
1	17	0	0.300	0.003195	0.017323	0.017324	0.411963	1.420506e+12	2.630192
1	18	0	0.300	0.003400	0.018063	0.018064	0.382379	1.498888e+12	2.651251
1	19	0	0.300	0.003624	0.018924	0.018927	0.351866	1.579648e+12	2.670454
1	20	0	0.300	0.003840	0.019781	0.019783	0.322622	1.657001e+12	2.692989
1	21	0	0.300	0.004059	0.020767	0.020769	0.293276	1.733307e+12	2.721568
1	22	0	0.300	0.004288	0.021881	0.021884	0.263656	1.810887e+12	2.753440
1	23	0	0.300	0.004506	0.022992	0.022997	0.235406	1.884912e+12	2.778028
1	24	0	0.300	0.004735	0.024489	0.024496	0.207261	1.957229e+12	2.817106
1	25	0	0.300	0.005022	0.026849	0.026861	0.177521	2.023447e+12	2.936163
1	26	0	0.300	0.005279	0.029102	0.029126	0.149032	2.095383e+12	2.994026
