seed	N	T	F	DRA	D	DSTA	Empty	Transmitted	TPF
1	1	0	0.300	0.000137	0.012347	0.012347	0.900807	8.480836e+10	2.841184
1	2	0	0.300	0.000546	0.020275	0.020450	0.819980	1.645501e+11	4.220552
1	3	0	0.300	0.001065	0.024207	0.024376	0.739575	2.450447e+11	4.755897
1	4	0	0.300	0.001468	0.024108	0.024265	0.685513	3.254393e+11	4.544916
1	5	0	0.300	0.002006	0.026995	0.027140	0.609842	4.041386e+11	4.873892
1	6	0	0.300	0.002511	0.029336	0.029506	0.541604	4.802227e+11	5.125892
1	7	0	0.300	0.002877	0.029643	0.029824	0.491456	5.631441e+11	4.959679
1	8	0	0.300	0.003222	0.030101	0.030310	0.445385	6.417698e+11	4.815080
1	9	0	0.300	0.003476	0.029756	0.030022	0.411218	7.216899e+11	4.596540
1	10	0	0.300	0.003991	0.032698	0.032982	0.349141	7.967220e+11	4.850332
1	11	0	0.300	0.004189	0.032295	0.032654	0.321755	8.787653e+11	4.630673
1	12	0	0.300	0.004401	0.032133	0.032565	0.294867	9.597657e+11	4.446262
1	13	0	0.300	0.004780	0.034297	0.034736	0.249445	1.028260e+12	4.512162
1	14	0	0.300	0.005284	0.038414	0.038960	0.190640	1.093004e+12	4.689309
1	15	0	0.300	0.005738	0.042825	0.043483	0.143556	1.155903e+12	4.925075
1	16	0	0.300	0.006041	0.045787	0.046566	0.110057	1.222998e+12	4.925564
1	17	0	0.300	0.006470	0.052330	0.053360	0.069624	1.274387e+12	5.153291
1	18	0	0.300	0.006781	0.059128	0.060410	0.042699	1.320615e+12	5.415306
1	19	0	0.300	0.006982	0.065324	0.066964	0.024378	1.372145e+12	5.468329
1	20	0	0.300	0.007192	0.077468	0.080009	0.008366	1.392349e+12	5.839806
1	21	0	0.300	0.007306	0.088222	0.091235	0.003054	1.419964e+12	6.284563
1	22	0	0.300	0.007363	0.102055	0.106480	0.000463	1.434638e+12	7.080003
1	23	0	0.300	0.007411	0.115887	0.121054	0.000081	1.448702e+12	7.915934
1	24	0	0.300	0.007408	0.126185	0.131880	0.000018	1.474224e+12	8.076759
1	25	0	0.300	0.007392	0.132864	0.139837	0.000013	1.509605e+12	8.037072
1	26	0	0.300	0.007429	0.147154	0.154288	0.000010	1.517664e+12	8.496692
1	27	0	0.300	0.007460	0.163013	0.169227	0.000010	1.520805e+12	9.506778
1	28	0	0.300	0.007496	0.178552	0.185318	0.000010	1.522294e+12	9.869224
1	29	0	0.300	0.007481	0.188801	0.195464	0.000010	1.542806e+12	9.747336
2	1	0	0.300	0.000137	0.016551	0.016551	0.888111	8.461259e+10	3.649055
2	2	0	0.300	0.000468	0.017171	0.017171	0.836692	1.691052e+11	3.650255
2	3	0	0.300	0.000959	0.021822	0.021921	0.755531	2.488668e+11	4.326068
2	4	0	0.300	0.001354	0.022383	0.022453	0.699434	3.320761e+11	4.252220
2	5	0	0.300	0.001703	0.022490	0.022561	0.650393	4.128278e+11	4.120066
2	6	0	0.300	0.001938	0.021382	0.021512	0.619956	4.965478e+11	3.823749
2	7	0	0.300	0.002455	0.024318	0.024509	0.546649	5.743791e+11	4.173962
2	8	0	0.300	0.002797	0.025090	0.025265	0.498906	6.546218e+11	4.125584
2	9	0	0.300	0.003137	0.025954	0.026126	0.453248	7.332699e+11	4.076498
2	10	0	0.300	0.003671	0.028916	0.029121	0.386055	8.102770e+11	4.362073
2	11	0	0.300	0.003867	0.028625	0.028877	0.358452	8.900338e+11	4.181337
2	12	0	0.300	0.004200	0.029888	0.030155	0.315731	9.655681e+11	4.150966
2	13	0	0.300	0.004737	0.033593	0.033962	0.251497	1.031233e+12	4.323216
2	14	0	0.300	0.005293	0.038266	0.038790	0.187123	1.096752e+12	4.464237
2	15	0	0.300	0.005612	0.040703	0.041286	0.149869	1.165128e+12	4.444030
2	16	0	0.300	0.006100	0.046798	0.047626	0.099333	1.220726e+12	4.636301
2	17	0	0.300	0.006383	0.050987	0.052033	0.068990	1.283465e+12	4.635429
2	18	0	0.300	0.006620	0.055965	0.057328	0.044831	1.337429e+12	4.643636
2	19	0	0.300	0.006810	0.062053	0.063850	0.026036	1.384779e+12	4.655186
2	20	0	0.300	0.006926	0.067481	0.070052	0.015187	1.436185e+12	4.628428
2	21	0	0.300	0.007006	0.072896	0.076384	0.007629	1.482369e+12	4.610918
2	22	0	0.300	0.007115	0.087923	0.093928	0.001392	1.493328e+12	4.988778
2	23	0	0.300	0.007120	0.095112	0.103369	0.000564	1.529346e+12	5.029591
2	24	0	0.300	0.007187	0.108156	0.118676	0.000099	1.542462e+12	5.484680
2	25	0	0.300	0.007244	0.123599	0.136765	0.000012	1.546787e+12	6.078762
2	26	0	0.300	0.007263	0.134978	0.153612	0.000012	1.565278e+12	6.347000
2	27	0	0.300	0.007304	0.150247	0.166345	0.000012	1.569409e+12	7.426234
2	28	0	0.300	0.007355	0.164863	0.177109	0.000012	1.571866e+12	8.573804
2	29	0	0.300	0.007414	0.179691	0.192827	0.000011	1.574475e+12	9.127234
3	1	0	0.300	0.000137	0.009929	0.009929	0.908105	8.583082e+10	2.381360
3	2	0	0.300	0.000522	0.019082	0.019332	0.825923	1.671683e+11	4.011486
3	3	0	0.300	0.000772	0.016612	0.016839	0.794955	2.519930e+11	3.453819
3	4	0	0.300	0.001269	0.020612	0.020886	0.717655	3.318358e+11	4.064942
3	5	0	0.300	0.001605	0.021015	0.021256	0.668914	4.135544e+11	3.987696
3	6	0	0.300	0.001943	0.021675	0.021906	0.618925	4.962183e+11	3.956506
3	7	0	0.300	0.002191	0.021386	0.021593	0.582832	5.771934e+11	3.792952
3	8	0	0.300	0.002729	0.024446	0.024726	0.507103	6.535508e+11	4.059749
3	9	0	0.300	0.003298	0.027540	0.027874	0.434420	7.276528e+11	4.296519
3	10	0	0.300	0.003816	0.030579	0.030965	0.368071	8.025398e+11	4.537818
3	11	0	0.300	0.004307	0.033471	0.033903	0.309003	8.731538e+11	4.753311
3	12	0	0.300	0.004781	0.036692	0.037172	0.253851	9.428536e+11	4.960316
3	13	0	0.300	0.005064	0.037782	0.038331	0.219715	1.019465e+12	4.854620
3	14	0	0.300	0.005500	0.041343	0.041975	0.171416	1.086739e+12	5.076573
3	15	0	0.300	0.005847	0.044418	0.045097	0.135406	1.148855e+12	5.137242
3	16	0	0.300	0.006099	0.046641	0.047434	0.106772	1.220588e+12	5.074302
3	17	0	0.300	0.006407	0.051026	0.051952	0.076680	1.276391e+12	5.174909
3	18	0	0.300	0.006544	0.052735	0.053872	0.060472	1.345684e+12	5.050941
3	19	0	0.300	0.006684	0.054840	0.056317	0.045939	1.410851e+12	4.950332
3	20	0	0.300	0.006884	0.060919	0.062822	0.026976	1.461300e+12	4.999678
3	21	0	0.300	0.007078	0.069456	0.071971	0.012456	1.497308e+12	5.175918
3	22	0	0.300	0.007209	0.079723	0.082993	0.004622	1.523462e+12	5.378033
3	23	0	0.300	0.007243	0.088876	0.093360	0.001380	1.556078e+12	5.411610
3	24	0	0.300	0.007307	0.105654	0.112520	0.000173	1.554904e+12	5.836679
3	25	0	0.300	0.007311	0.118775	0.128517	0.000015	1.566395e+12	5.968940
3	26	0	0.300	0.007357	0.135679	0.147047	0.000011	1.560337e+12	6.389606
3	27	0	0.300	0.007370	0.149280	0.163286	0.000011	1.567730e+12	6.541998
4	1	0	0.300	0.000137	0.027118	0.027118	0.857859	8.081010e+10	5.687403
4	2	0	0.300	0.000716	0.028764	0.028764	0.777511	1.611071e+11	5.773010
4	3	0	0.300	0.001284	0.030518	0.030518	0.698367	2.409913e+11	5.857041
4	4	0	0.300	0.001685	0.028527	0.028644	0.649675	3.220270e+11	5.271039
4	5	0	0.300	0.001976	0.026576	0.026764	0.611776	4.066383e+11	4.775177
4	6	0	0.300	0.002212	0.024912	0.025136	0.581072	4.903262e+11	4.369253
4	7	0	0.300	0.002756	0.027838	0.028118	0.507256	5.654430e+11	4.618395
4	8	0	0.300	0.003108	0.028385	0.028666	0.460267	6.449317e+11	4.494155
4	9	0	0.300	0.003453	0.029183	0.029483	0.413168	7.239219e+11	4.406790
4	10	0	0.300	0.003803	0.030193	0.030503	0.365880	8.041752e+11	4.334493
4	11	0	0.300	0.004000	0.029883	0.030261	0.338914	8.830806e+11	4.148185
4	12	0	0.300	0.004514	0.033264	0.033722	0.276607	9.519514e+11	4.380364
4	13	0	0.300	0.004861	0.034931	0.035436	0.234021	1.025571e+12	4.344362
4	14	0	0.300	0.005350	0.038959	0.039578	0.181058	1.091412e+12	4.582770
4	15	0	0.300	0.005678	0.041534	0.042226	0.144501	1.162462e+12	4.576086
4	16	0	0.300	0.006171	0.048043	0.049040	0.092579	1.216932e+12	4.730267
4	17	0	0.300	0.006527	0.054094	0.055351	0.058444	1.264397e+12	4.977482
4	18	0	0.300	0.006856	0.062578	0.064379	0.030586	1.306196e+12	5.291817
4	19	0	0.300	0.006939	0.065211	0.067473	0.020351	1.367605e+12	5.205005
4	20	0	0.300	0.007061	0.072247	0.075309	0.010433	1.412777e+12	5.317959
4	21	0	0.300	0.007153	0.080607	0.084797	0.003965	1.451927e+12	5.476931
4	22	0	0.300	0.007246	0.091300	0.096174	0.001283	1.472912e+12	5.941888
4	23	0	0.300	0.007294	0.106058	0.112438	0.000097	1.486244e+12	6.822168
4	24	0	0.300	0.007322	0.115069	0.123120	0.000030	1.514229e+12	7.055564
4	25	0	0.300	0.007333	0.124204	0.133709	0.000012	1.543545e+12	7.255758
4	26	0	0.300	0.007389	0.138968	0.147885	0.000012	1.545760e+12	7.947235
5	1	0	0.300	0.000137	0.013693	0.013693	0.896755	8.436100e+10	3.102729
5	2	0	0.300	0.000444	0.016559	0.016581	0.840472	1.677852e+11	3.543697
5	3	0	0.300	0.000770	0.017286	0.017295	0.790343	2.500515e+11	3.563270
5	4	0	0.300	0.001016	0.016454	0.016479	0.755747	3.351612e+11	3.322068
5	5	0	0.300	0.001418	0.018544	0.018585	0.693398	4.169907e+11	3.543604
5	6	0	0.300	0.001956	0.021836	0.021955	0.615928	4.936393e+11	3.907223
5	7	0	0.300	0.002348	0.023032	0.023150	0.560382	5.757881e+11	3.931140
5	8	0	0.300	0.002682	0.023797	0.023911	0.513259	6.539620e+11	3.887513
5	9	0	0.300	0.003243	0.026920	0.027087	0.436724	7.284872e+11	4.088387
5	10	0	0.300	0.003790	0.030105	0.030325	0.367869	8.007059e+11	4.317152
5	11	0	0.300	0.004367	0.033857	0.034160	0.297158	8.707107e+11	4.458900
5	12	0	0.300	0.004837	0.037234	0.037599	0.240783	9.402235e+11	4.695732
5	13	0	0.300	0.005129	0.038441	0.038864	0.206352	1.015057e+12	4.600964
5	14	0	0.300	0.005502	0.041382	0.041898	0.163915	1.084900e+12	4.611155
5	15	0	0.300	0.005823	0.044213	0.044811	0.127325	1.152737e+12	4.590912
5	16	0	0.300	0.006098	0.047371	0.048082	0.096387	1.215280e+12	4.588392
5	17	0	0.300	0.006425	0.052545	0.053510	0.064949	1.271598e+12	4.647368
5	18	0	0.300	0.006707	0.058629	0.059828	0.038698	1.322998e+12	4.724073
5	19	0	0.300	0.006803	0.061570	0.063309	0.027010	1.384173e+12	4.653872
5	20	0	0.300	0.007030	0.070951	0.073353	0.012503	1.420611e+12	4.997217
5	21	0	0.300	0.007074	0.074333	0.077633	0.007149	1.473189e+12	4.919581
