seed	N	T	F	DRA	D	DSTA	Empty	Transmitted	TPF
1	1	0	0.300	0.000137	0.012347	0.012347	0.900807	8.480836e+10	2.841184
1	2	0	0.300	0.000546	0.020275	0.020450	0.819980	1.645501e+11	4.220552
1	3	0	0.300	0.001058	0.024163	0.024334	0.738633	2.444732e+11	4.722045
1	4	0	0.300	0.001458	0.024164	0.024316	0.683797	3.264771e+11	4.526573
1	5	0	0.300	0.002012	0.027067	0.027217	0.604624	4.044082e+11	4.765149
1	6	0	0.300	0.002583	0.029888	0.030055	0.527001	4.809609e+11	4.915304
1	7	0	0.300	0.002963	0.030166	0.030367	0.477355	5.627379e+11	4.738282
1	8	0	0.300	0.003307	0.030620	0.030852	0.429849	6.415415e+11	4.596413
1	9	0	0.300	0.003577	0.030359	0.030615	0.395079	7.214921e+11	4.385963
1	10	0	0.300	0.004152	0.033930	0.034250	0.321646	7.928325e+11	4.513485
1	11	0	0.300	0.004360	0.033681	0.034107	0.294279	8.741273e+11	4.307726
1	12	0	0.300	0.004570	0.033541	0.034054	0.266954	9.536715e+11	4.135403
1	13	0	0.300	0.005008	0.036648	0.037247	0.213964	1.023555e+12	4.158231
1	14	0	0.300	0.005563	0.042119	0.042948	0.150748	1.083474e+12	4.256594
1	15	0	0.300	0.006070	0.048848	0.050063	0.095811	1.135628e+12	4.324919
1	16	0	0.300	0.006360	0.053609	0.055275	0.064281	1.195036e+12	4.276732
1	17	0	0.300	0.006738	0.064852	0.067662	0.028105	1.227594e+12	4.323448
1	18	0	0.300	0.006967	0.080351	0.085504	0.007570	1.245200e+12	4.357147
1	19	0	0.300	0.007017	0.090245	0.098271	0.002154	1.278187e+12	4.275800
1	20	0	0.300	0.007044	0.109208	0.124045	0.000098	1.278958e+12	4.276858
1	21	0	0.300	0.007043	0.129385	0.156750	0.000013	1.279476e+12	4.282988
1	22	0	0.300	0.007047	0.128925	0.165510	0.000011	1.280051e+12	4.281300
1	23	0	0.300	0.007044	0.157651	0.385993	0.000011	1.280025e+12	4.279224
1	24	0	0.300	0.007023	0.138376	0.184837	0.000011	1.316500e+12	4.169435
1	25	0	0.300	0.007000	0.136147	0.269056	0.000011	1.368811e+12	4.035833
1	26	0	0.300	0.006983	0.135655	0.218507	0.000010	1.384149e+12	3.993314
1	27	0	0.300	0.006991	0.175792	0.323842	0.000010	1.382664e+12	3.996921
1	28	0	0.300	0.006983	0.170487	0.332094	0.000010	1.397938e+12	3.956908
1	29	0	0.300	0.006952	0.178544	0.353626	0.000010	1.449377e+12	3.840138
1	30	0	0.300	0.006938	0.159441	0.324964	0.000010	1.474946e+12	3.778876
1	31	0	0.300	0.006911	0.162676	0.673800	0.000010	1.524024e+12	3.668625
1	32	0	0.300	0.006886	0.165754	0.589718	0.000010	1.570816e+12	3.570465
1	33	0	0.300	0.006878	0.204798	0.816828	0.000010	1.593543e+12	3.535118
1	34	0	0.300	0.006869	0.160019	0.701509	0.000010	1.614261e+12	3.491853
1	35	0	0.300	0.006854	0.179978	0.720729	0.000010	1.633763e+12	3.455779
1	36	0	0.300	0.006839	0.188926	1.514691	0.000010	1.655795e+12	3.418070
1	37	0	0.300	0.006817	0.177732	1.091398	0.000010	1.700403e+12	3.344362
1	38	0	0.300	0.006792	0.182843	2.457017	0.000010	1.744890e+12	3.267953
1	39	0	0.300	0.006784	0.173860	3.886610	0.000010	1.753326e+12	3.257105
1	40	0	0.300	0.006789	0.198865	3.248309	0.000010	1.751690e+12	3.257513
2	1	0	0.300	0.000137	0.016551	0.016551	0.888111	8.461259e+10	3.649055
2	2	0	0.300	0.000468	0.017171	0.017171	0.836692	1.691052e+11	3.650255
2	3	0	0.300	0.000962	0.021842	0.021954	0.755382	2.488817e+11	4.327714
2	4	0	0.300	0.001357	0.022343	0.022415	0.699785	3.316322e+11	4.243582
2	5	0	0.300	0.001710	0.022577	0.022656	0.649667	4.141206e+11	4.123703
2	6	0	0.300	0.001913	0.021329	0.021441	0.619660	4.978123e+11	3.818360
2	7	0	0.300	0.002473	0.024345	0.024516	0.542204	5.732619e+11	4.069355
2	8	0	0.300	0.002816	0.025171	0.025356	0.492724	6.554722e+11	4.020250
2	9	0	0.300	0.003175	0.026160	0.026330	0.445433	7.338944e+11	3.975651
2	10	0	0.300	0.003761	0.029621	0.029868	0.369652	8.067502e+11	4.152450
2	11	0	0.300	0.003964	0.029356	0.029649	0.341608	8.874916e+11	3.974888
2	12	0	0.300	0.004308	0.030725	0.031049	0.297393	9.615397e+11	3.938848
2	13	0	0.300	0.004881	0.035041	0.035463	0.228512	1.027958e+12	4.066167
2	14	0	0.300	0.005423	0.040037	0.040684	0.165559	1.086618e+12	4.162442
2	15	0	0.300	0.005774	0.043509	0.044336	0.125076	1.156847e+12	4.133573
2	16	0	0.300	0.006272	0.051507	0.052814	0.072688	1.204328e+12	4.213447
2	17	0	0.300	0.006521	0.056820	0.058637	0.046380	1.258098e+12	4.157537
2	18	0	0.300	0.006732	0.064148	0.066884	0.024576	1.306347e+12	4.112761
2	19	0	0.300	0.006876	0.072511	0.076755	0.010418	1.344608e+12	4.061198
2	20	0	0.300	0.006931	0.079488	0.086262	0.004272	1.389692e+12	3.970561
2	21	0	0.300	0.006945	0.086821	0.097645	0.001174	1.431384e+12	3.883710
2	22	0	0.300	0.006966	0.104127	0.126795	0.000043	1.431802e+12	3.883751
2	23	0	0.300	0.006944	0.110232	0.142233	0.000018	1.470935e+12	3.792125
2	24	0	0.300	0.006940	0.121574	0.188603	0.000012	1.472530e+12	3.790539
2	25	0	0.300	0.006943	0.124434	0.204822	0.000012	1.470137e+12	3.790655
2	26	0	0.300	0.006926	0.133269	0.233717	0.000012	1.497403e+12	3.734725
2	27	0	0.300	0.006930	0.134616	0.221006	0.000012	1.497002e+12	3.736034
2	28	0	0.300	0.006927	0.148872	0.285397	0.000012	1.494801e+12	3.732276
2	29	0	0.300	0.006924	0.146209	0.444692	0.000011	1.495485e+12	3.731418
2	30	0	0.300	0.006923	0.155902	0.389216	0.000011	1.497168e+12	3.732861
2	31	0	0.300	0.006925	0.160445	0.553210	0.000011	1.509581e+12	3.702930
2	32	0	0.300	0.006896	0.172183	0.702342	0.000011	1.551921e+12	3.617523
2	33	0	0.300	0.006900	0.185003	1.266894	0.000011	1.552815e+12	3.609886
2	34	0	0.300	0.006875	0.193936	1.175783	0.000011	1.590574e+12	3.539802
2	35	0	0.300	0.006855	0.162729	0.694091	0.000011	1.636798e+12	3.455343
2	36	0	0.300	0.006837	0.202259	1.070662	0.000011	1.681839e+12	3.379859
2	37	0	0.300	0.006815	0.174104	1.290252	0.000011	1.702032e+12	3.340468
2	38	0	0.300	0.006811	0.179510	2.354618	0.000011	1.722626e+12	3.315775
2	39	0	0.300	0.006810	0.165572	1.510626	0.000011	1.719637e+12	3.311064
2	40	0	0.300	0.006796	0.196070	3.458565	0.000011	1.744388e+12	3.273719
3	1	0	0.300	0.000137	0.009929	0.009929	0.908105	8.583082e+10	2.381360
3	2	0	0.300	0.000522	0.019082	0.019332	0.825923	1.671683e+11	4.011486
3	3	0	0.300	0.000772	0.016612	0.016839	0.794955	2.519930e+11	3.453819
3	4	0	0.300	0.001280	0.020784	0.021059	0.713495	3.322266e+11	4.017227
3	5	0	0.300	0.001615	0.021076	0.021320	0.664587	4.131568e+11	3.922574
3	6	0	0.300	0.001957	0.021665	0.021885	0.615678	4.944407e+11	3.868913
3	7	0	0.300	0.002213	0.021502	0.021715	0.577801	5.774420e+11	3.722287
3	8	0	0.300	0.002781	0.024634	0.024919	0.499949	6.543805e+11	3.961213
3	9	0	0.300	0.003358	0.027910	0.028272	0.422787	7.293268e+11	4.153084
3	10	0	0.300	0.003926	0.031204	0.031650	0.350817	8.001668e+11	4.292639
3	11	0	0.300	0.004481	0.034921	0.035416	0.280972	8.670770e+11	4.399565
3	12	0	0.300	0.005061	0.039618	0.040283	0.211477	9.353715e+11	4.512624
3	13	0	0.300	0.005332	0.040973	0.041768	0.178361	1.007443e+12	4.386788
3	14	0	0.300	0.005877	0.047263	0.048324	0.118826	1.064765e+12	4.468430
3	15	0	0.300	0.006253	0.052919	0.054354	0.078583	1.121363e+12	4.451315
3	16	0	0.300	0.006473	0.056392	0.058299	0.054621	1.183360e+12	4.345144
3	17	0	0.300	0.006759	0.065717	0.068559	0.026329	1.227758e+12	4.335170
3	18	0	0.300	0.006836	0.068797	0.072833	0.016686	1.288146e+12	4.193207
3	19	0	0.300	0.006887	0.072254	0.077809	0.009645	1.343063e+12	4.062654
3	20	0	0.300	0.006955	0.082129	0.090667	0.002599	1.377785e+12	4.002827
3	21	0	0.300	0.006982	0.096055	0.110498	0.000296	1.395379e+12	3.973138
3	22	0	0.300	0.006974	0.109056	0.133344	0.000015	1.410792e+12	3.929673
3	23	0	0.300	0.006952	0.116013	0.150341	0.000011	1.446881e+12	3.840306
3	24	0	0.300	0.006953	0.131403	0.239618	0.000011	1.447238e+12	3.843510
3	25	0	0.300	0.006937	0.131650	0.221059	0.000011	1.473023e+12	3.783523
3	26	0	0.300	0.006937	0.123553	0.213321	0.000011	1.471046e+12	3.779616
3	27	0	0.300	0.006926	0.124977	0.234351	0.000011	1.499220e+12	3.721631
3	28	0	0.300	0.006919	0.156888	0.323945	0.000011	1.498204e+12	3.724844
3	29	0	0.300	0.006925	0.138472	0.309947	0.000011	1.499582e+12	3.719876
3	30	0	0.300	0.006910	0.152564	0.429243	0.000011	1.526543e+12	3.665715
3	31	0	0.300	0.006882	0.156941	0.564661	0.000011	1.572562e+12	3.574017
3	32	0	0.300	0.006875	0.174482	1.026902	0.000011	1.593182e+12	3.537226
3	33	0	0.300	0.006864	0.170490	0.601380	0.000011	1.614959e+12	3.489971
3	34	0	0.300	0.006864	0.197104	1.518555	0.000011	1.617142e+12	3.491331
3	35	0	0.300	0.006855	0.161023	0.767482	0.000011	1.624493e+12	3.475860
3	36	0	0.300	0.006856	0.201811	1.290107	0.000011	1.623538e+12	3.474198
3	37	0	0.300	0.006861	0.199065	1.189524	0.000011	1.626076e+12	3.475639
3	38	0	0.300	0.006848	0.189471	2.435203	0.000011	1.639583e+12	3.444102
3	39	0	0.300	0.006849	0.166216	1.245421	0.000011	1.646835e+12	3.438149
3	40	0	0.300	0.006829	0.191479	3.138697	0.000011	1.690699e+12	3.359153
