seed	N	T	F	DRA	D	DSTA	Empty	Transmitted	TPF
1	1	0	0.300	0.000137	0.012347	0.012347	0.900807	8.480836e+10	2.841184
1	2	0	0.300	0.000546	0.020275	0.020450	0.819980	1.645501e+11	4.220552
1	3	0	0.300	0.001065	0.024207	0.024376	0.739575	2.450447e+11	4.755897
1	4	0	0.300	0.001468	0.024108	0.024265	0.685513	3.254393e+11	4.544916
1	5	0	0.300	0.001994	0.026873	0.027033	0.610421	4.039840e+11	4.854752
1	6	0	0.300	0.002517	0.029439	0.029597	0.540930	4.801539e+11	5.166457
1	7	0	0.300	0.002872	0.029673	0.029877	0.491594	5.634274e+11	4.986448
1	8	0	0.300	0.003229	0.030093	0.030293	0.444984	6.428850e+11	4.841950
1	9	0	0.300	0.003500	0.029847	0.030090	0.410571	7.229664e+11	4.621964
1	10	0	0.300	0.004006	0.032778	0.033057	0.348436	7.979848e+11	4.908317
1	11	0	0.300	0.004202	0.032269	0.032617	0.322141	8.780467e+11	4.674948
1	12	0	0.300	0.004395	0.031999	0.032418	0.296728	9.565348e+11	4.480841
1	13	0	0.300	0.004779	0.034244	0.034690	0.249426	1.029698e+12	4.579101
1	14	0	0.300	0.005298	0.038563	0.039132	0.190546	1.093905e+12	4.839168
1	15	0	0.300	0.005744	0.042843	0.043508	0.143493	1.160441e+12	5.120275
1	16	0	0.300	0.006023	0.045540	0.046310	0.112616	1.223206e+12	5.141239
1	17	0	0.300	0.006436	0.051796	0.052799	0.072898	1.274451e+12	5.538851
1	18	0	0.300	0.006772	0.058300	0.059469	0.044953	1.323237e+12	5.969020
1	19	0	0.300	0.006974	0.064171	0.065667	0.027032	1.376028e+12	6.174266
1	20	0	0.300	0.007194	0.074932	0.077056	0.010896	1.403467e+12	7.038311
1	21	0	0.300	0.007324	0.084740	0.087000	0.004922	1.433254e+12	7.810470
1	22	0	0.300	0.007424	0.098113	0.101002	0.001031	1.449612e+12	8.895333
1	23	0	0.300	0.007488	0.111969	0.115113	0.000214	1.460977e+12	9.851429
1	24	0	0.300	0.007505	0.122051	0.125753	0.000051	1.487240e+12	10.212167
1	25	0	0.300	0.007487	0.130184	0.134542	0.000017	1.519561e+12	10.178706
2	1	0	0.300	0.000137	0.016551	0.016551	0.888111	8.461259e+10	3.649055
2	2	0	0.300	0.000468	0.017171	0.017171	0.836692	1.691052e+11	3.650255
2	3	0	0.300	0.000959	0.021822	0.021921	0.755531	2.488668e+11	4.326068
2	4	0	0.300	0.001354	0.022383	0.022453	0.699434	3.320761e+11	4.252220
2	5	0	0.300	0.001703	0.022490	0.022561	0.650393	4.128278e+11	4.120066
2	6	0	0.300	0.001938	0.021382	0.021512	0.619956	4.965478e+11	3.823749
2	7	0	0.300	0.002448	0.024265	0.024440	0.547569	5.737682e+11	4.171239
2	8	0	0.300	0.002803	0.025077	0.025262	0.499313	6.546221e+11	4.123591
2	9	0	0.300	0.003133	0.025892	0.026064	0.452597	7.324142e+11	4.083566
2	10	0	0.300	0.003645	0.028703	0.028927	0.388546	8.051758e+11	4.349896
2	11	0	0.300	0.003868	0.028612	0.028869	0.358682	8.907012e+11	4.187411
2	12	0	0.300	0.004207	0.029949	0.030224	0.315161	9.665351e+11	4.174429
2	13	0	0.300	0.004736	0.033659	0.034036	0.251845	1.030786e+12	4.383039
2	14	0	0.300	0.005284	0.038087	0.038580	0.189550	1.094255e+12	4.612805
2	15	0	0.300	0.005606	0.040651	0.041234	0.151788	1.165136e+12	4.631976
2	16	0	0.300	0.006080	0.046486	0.047295	0.102535	1.221126e+12	4.950113
2	17	0	0.300	0.006344	0.050186	0.051135	0.074168	1.283303e+12	5.015965
2	18	0	0.300	0.006594	0.055065	0.056267	0.048723	1.339149e+12	5.135861
2	19	0	0.300	0.006808	0.060874	0.062416	0.029517	1.389573e+12	5.308945
2	20	0	0.300	0.006934	0.065607	0.067721	0.017415	1.443929e+12	5.397189
2	21	0	0.300	0.007018	0.070840	0.073613	0.009513	1.492841e+12	5.524001
2	22	0	0.300	0.007161	0.083838	0.087967	0.002486	1.510261e+12	6.403123
2	23	0	0.300	0.007200	0.090918	0.096382	0.000805	1.549429e+12	6.625625
2	24	0	0.300	0.007280	0.102841	0.108969	0.000146	1.565212e+12	7.551304
2	25	0	0.300	0.007361	0.117497	0.124390	0.000015	1.571343e+12	8.536432
3	1	0	0.300	0.000137	0.009929	0.009929	0.908105	8.583082e+10	2.381360
3	2	0	0.300	0.000522	0.019082	0.019332	0.825923	1.671683e+11	4.011486
3	3	0	0.300	0.000772	0.016612	0.016839	0.794955	2.519930e+11	3.453819
3	4	0	0.300	0.001274	0.020723	0.020998	0.717179	3.318322e+11	4.085382
3	5	0	0.300	0.001595	0.020977	0.021242	0.669138	4.132590e+11	3.987995
3	6	0	0.300	0.001942	0.021672	0.021889	0.619847	4.944532e+11	3.954173
3	7	0	0.300	0.002202	0.021451	0.021679	0.582710	5.775364e+11	3.797370
3	8	0	0.300	0.002750	0.024500	0.024777	0.506543	6.543678e+11	4.084483
3	9	0	0.300	0.003291	0.027568	0.027918	0.434620	7.282666e+11	4.341055
3	10	0	0.300	0.003804	0.030404	0.030794	0.369901	8.011707e+11	4.572787
3	11	0	0.300	0.004313	0.033542	0.033966	0.309700	8.721899e+11	4.817246
3	12	0	0.300	0.004797	0.036828	0.037312	0.252762	9.450750e+11	5.067667
3	13	0	0.300	0.005058	0.037689	0.038226	0.220836	1.017822e+12	4.944406
3	14	0	0.300	0.005490	0.041238	0.041835	0.174652	1.084446e+12	5.241299
3	15	0	0.300	0.005853	0.044612	0.045278	0.135800	1.151962e+12	5.368114
3	16	0	0.300	0.006080	0.046533	0.047324	0.108910	1.219254e+12	5.314656
3	17	0	0.300	0.006411	0.051013	0.051900	0.077737	1.278961e+12	5.511499
3	18	0	0.300	0.006563	0.052987	0.054176	0.060396	1.350443e+12	5.440109
3	19	0	0.300	0.006674	0.054599	0.055986	0.047442	1.414390e+12	5.340943
3	20	0	0.300	0.006863	0.059820	0.061571	0.029233	1.463220e+12	5.450930
3	21	0	0.300	0.007072	0.068564	0.070857	0.014027	1.502958e+12	5.863132
